iter	Passed	Remaining
0	9	954
1	19	963
2	29	946
3	42	1026
4	53	1010
5	63	994
6	75	1004
7	87	1004
8	97	986
9	107	971
10	118	961
11	129	949
12	142	953
13	156	958
14	169	961
15	183	963
16	197	963
17	210	957
18	221	945
19	234	936
20	245	921
21	258	914
22	272	911
23	285	903
24	300	900
25	313	893
26	325	879
27	337	869
28	348	854
29	359	838
30	369	822
31	380	807
32	390	793
33	401	778
34	411	763
35	424	754
36	436	743
37	449	733
38	462	723
39	474	712
40	485	699
41	497	687
42	514	681
43	526	669
44	539	659
45	552	648
46	565	638
47	578	626
48	590	614
49	602	602
50	613	589
51	626	577
52	640	567
53	652	556
54	664	543
55	674	529
56	685	516
57	698	506
58	709	492
59	721	481
60	742	474
61	763	468
62	792	465
63	807	454
64	820	441
65	841	433
66	857	422
67	873	411
68	902	405
69	920	394
70	945	386
71	961	374
72	973	360
73	984	345
74	999	333
75	1012	319
76	1026	306
77	1039	293
78	1054	280
79	1066	266
80	1077	252
81	1092	239
82	1105	226
83	1118	212
84	1131	199
85	1147	186
86	1161	173
87	1175	160
88	1189	147
89	1203	133
90	1218	120
91	1232	107
92	1245	93
93	1259	80
94	1272	66
95	1285	53
96	1298	40
97	1313	26
98	1330	13
99	1346	0
