,ticker,period,context_window,fz_loss_25,gr_loss_1,gr_loss_25,fz_loss_25_min
5,AAPL,p1,375,-3.630597666706743,0.4217254886690779,0.8002436438517061,-3.630597666706743
10,AAPL,p2,60,-3.418222457542757,0.44115957518680365,0.8564748738608138,-3.418222457542757
15,AAPL,p3,10,-2.114101573959878,1.1614320255471442,2.8444440251033027,-2.114101573959878
24,AAPL,p4,60,-3.8126670523171953,0.26864295924806064,0.6228053780510818,-3.8126670523171953
32,AAPL,p5,125,-3.530377752623623,0.4102522512970422,0.8411028625191083,-3.530377752623623
40,BAC,p1,375,-3.0503517479347733,0.559989957374913,1.3022187804052408,-3.0503517479347733
46,BAC,p2,125,-2.817727034955584,0.5750256933238075,1.3929144475725936,-2.817727034955584
55,BAC,p3,500,-1.7524634172588274,2.03658248270103,4.199507109196703,-1.7524634172588274
59,BAC,p4,60,-4.130961604361362,0.22581834750611093,0.4432772918795131,-4.130961604361362
69,BAC,p5,500,-3.762467934584066,0.3081028846897694,0.6049806683266079,-3.762467934584066
73,MSFT,p1,60,-3.4740535534674986,0.4098194096755813,0.8417500013466568,-3.4740535534674986
80,MSFT,p2,60,-2.731007897123897,0.8829899517230839,1.4837776672766085,-2.731007897123897
90,MSFT,p3,500,-2.8911551636190613,0.693872972263414,1.3478461203902474,-2.8911551636190613
94,MSFT,p4,60,-3.6113569921937185,0.27163654302551593,0.6383647240885625,-3.6113569921937185
103,MSFT,p5,375,-3.9559845771692,0.2868766143235572,0.5399838737017327,-3.9559845771692
110,NDQ,p1,375,-3.7187202849060124,0.33630514116640103,0.6423425733299049,-3.7187202849060124
118,NDQ,p2,500,-3.564881021648509,0.3660895607549994,0.7134986480611689,-3.564881021648509
125,NDQ,p3,500,-3.1677739187874154,0.6028404252716881,1.1679861650657606,-3.1677739187874154
132,NDQ,p4,500,-4.2235506027001986,0.20675459730374138,0.41113426052190866,-4.2235506027001986
137,NDQ,p5,125,-4.217192760374665,0.25493467953496846,0.4468546472481826,-4.217192760374665
145,NKX,p1,375,-3.6236356375585994,0.3434329552278663,0.6693619203001157,-3.6236356375585994
151,NKX,p2,125,-3.584854699221968,0.34715770882753744,0.67768583784641,-3.584854699221968
157,NKX,p3,60,-2.286311895518169,1.2775700834739179,2.472826459108876,-2.286311895518169
164,NKX,p4,60,-3.1361465593365265,0.631351973257869,1.0433345252868704,-3.1361465593365265
170,NKX,p5,20,-3.8584959946116286,0.2336052433145125,0.5293145865370709,-3.8584959946116286
177,SPX,p1,20,-4.060696650899027,0.25369284779699613,0.4692368310497998,-4.060696650899027
183,SPX,p2,10,-3.1893003496837014,0.490045169645158,0.9878307539469946,-3.1893003496837014
195,SPX,p3,500,-3.062740051843731,0.3706122059367177,1.0798919491899688,-3.062740051843731
199,SPX,p4,60,-4.381593155481676,0.16223538186919556,0.36402151749305073,-4.381593155481676
209,SPX,p5,500,-4.245786523164737,0.23425861997526468,0.3967809887636852,-4.245786523164737
216,TWSE,p1,500,-3.498125093867501,0.372040644414365,0.7254032234198601,-3.498125093867501
222,TWSE,p2,375,-4.024832489745956,0.2332866368446662,0.4757187990729251,-4.024832489745956
229,TWSE,p3,375,-3.4168448118623598,0.41931038840566975,0.8081733991273284,-3.4168448118623598
234,TWSE,p4,60,-3.907566517569522,0.1790904538181943,0.4264119932377126,-3.907566517569522
240,TWSE,p5,20,-4.227538027132801,0.20359646537916032,0.41110579682429216,-4.227538027132801
250,UKX,p1,375,-3.4196835372184813,0.39571487774080016,0.777665140356888,-3.4196835372184813
255,UKX,p2,60,-3.7867321277416175,0.35190431893770946,0.5265489336224628,-3.7867321277416175
262,UKX,p3,60,-3.4177223909726595,0.42359363578034803,0.741844637632505,-3.4177223909726595
267,UKX,p4,10,-3.718683848552892,0.3274899190411032,0.5932923645798507,-3.718683848552892
278,UKX,p5,375,-3.9387517056848367,0.1984026069791566,0.5095286838961158,-3.9387517056848367
5,ADA,p1,375,-2.1699349404629293,1.122095795444186,2.9721312966891578,-2.1699349404629293
13,ADA,p2,500,-2.1389773232002143,1.2912600556528637,2.7495119370670396,-2.1389773232002143
16,ADA,p3,20,-1.9943794342077399,1.82162043339326,4.021245518867536,-1.9943794342077399
27,ADA,p4,500,-2.133162127736699,1.3829032214461627,2.6408818250880755,-2.133162127736699
31,ADA,p5,60,-2.4787217503737167,0.9667590883212759,2.203033166057054,-2.4787217503737167
40,BNB,p1,375,-2.6031820827687024,0.9740745723725822,2.03485940377458,-2.6031820827687024
46,BNB,p2,125,-2.4502984181553455,1.1121293576544449,2.3069583423634783,-2.4502984181553455
49,BNB,p3,5,-1.5212012958858858,2.4997900754103317,6.260404391886871,-1.5212012958858858
59,BNB,p4,60,-2.376872337299889,1.156995345112373,2.2854339125791467,-2.376872337299889
68,BNB,p5,375,-2.730263244267959,0.8841706375135066,1.6944476691064492,-2.730263244267959
70,BTC,p1,5,-1.458042979484504,1.9485883904380474,5.6787126836061415,-1.458042979484504
78,BTC,p2,10,-2.2918416502052517,1.384050362769718,2.8097379308611408,-2.2918416502052517
84,BTC,p3,5,-1.0204573307787166,5.236773018559357,8.898431016559169,-1.0204573307787166
96,BTC,p4,375,-2.669045400520388,1.286923014957155,2.3245297175857136,-2.669045400520388
104,BTC,p5,500,-3.0902006176450336,0.629130670234286,1.2115403508712714,-3.0902006176450336
108,ETH,p1,60,-1.6501306229822725,1.7701304652009167,4.109886234332382,-1.6501306229822725
116,ETH,p2,125,-2.3537266215086627,1.1016185885410874,2.6401569655586203,-2.3537266215086627
122,ETH,p3,60,-2.001199211208512,1.7533144008734074,3.772546505710868,-2.001199211208512
127,ETH,p4,10,-2.275275168126861,1.3819323970241157,2.689287121553146,-2.275275168126861
136,ETH,p5,60,-2.24137785724681,1.3214736353852103,2.2441893109906204,-2.24137785724681
146,EURUSD,p1,500,-4.086118554760998,0.18826786588778868,0.4044048219739122,-4.086118554760998
150,EURUSD,p2,60,-4.069810327956043,0.18029947528496143,0.41222774986183464,-4.069810327956043
160,EURUSD,p3,500,-4.299301898802033,0.18846853915800973,0.3837386029804499,-4.299301898802033
165,EURUSD,p4,125,-4.659974216556321,0.14405520954355513,0.25274972483053154,-4.659974216556321
171,EURUSD,p5,60,-4.987856860447569,0.08109478157828583,0.1749766542523239,-4.987856860447569
180,GOOG,p1,375,-3.09853025219023,0.5868056299818455,1.1770896577208034,-3.09853025219023
184,GOOG,p2,20,-2.926322606801704,0.743180943839982,1.186686752593318,-2.926322606801704
190,GOOG,p3,10,-2.1027146040306146,1.6448367149060283,2.9856002119794263,-2.1027146040306146
200,GOOG,p4,125,-3.916064163902153,0.30517972371517865,0.5466612701136754,-3.916064163902153
206,GOOG,p5,60,-3.9107993062919286,0.2883520240479293,0.5706629942348406,-3.9107993062919286
216,JPM,p1,500,-3.114304696616782,0.6105025887574589,1.1846543514164194,-3.114304696616782
218,JPM,p2,10,-3.3655844769881695,0.4444537859328573,0.8397996161071861,-3.3655844769881695
