"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4764241744759","88.699785031557","86.245250129459","83.6428420448712","84.6355644478745","70.6728532748071","68.5481524585394","69.3812949640288","70.8678828081813","68.5635497618451","77.9482262703739","78.110599078341","76.7998290963469","78.1847781847782","76.2799016320143","77.5648516008413","83.7861524978089","82.4333259863346","86.9727047146402","85.010101010101","74.1484883275928","70.8419664720286","71.6322427344178","","",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.02479336623182","8.09716629841498","9.34959330590257","16.8639103340214","18.0555553858025","21.4128034842526","18.571428537415","14.2098270385479","15.2103564269331","14.9842272480072","11.9441077843955","16.1407951985264","18.1058497936081","14.7435907141683","14.8453612226592","14.2723007777117","14.8695654136106","14.8231754979077","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6961238274523","36.3969669366227","40.4806836468114","49.0836276416028","48.9013219332501","40.2571698342525","42.5058388897863","37.8433737133894","39.4044611349057","40.9756055782624","37.8673794000531",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8612782697202","74.946850958953","48.2167466955221","49.5798894342136","45.1995788304369","41.0646943598961","31.1572958281252","40.1542845215112","48.8896794334592","63.6888393251959","42.5805172359653","39.3125594147723","35.8599672014052","36.0648463922967","34.6378962589621","33.1339212916755","25.2456707179877","23.2527213968366","25.5417220484722","",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","34.9697653759195","33.2750985444902","35.2284034515555","36.6703294941507","34.1692951233476","43.3387884520677","45.1576284276827","47.5794310075998","46.1732072912239","44.8296538946938","47.8593431301091","49.0574768907541","54.9542283486494","52.1493309674069","49.8541025997532","48.5639318895976","51.9770293657795","47.5727135741334","46.9574108831978","47.194856652916","44.5336293946429","45.8319599126132","46.6244505699365","45.2636668047653","45.2170766190777",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","21.7115037848854","20.5038839933241","20.8562709473921","23.7276110381367","23.9195432295922","31.031462733993","31.0309096544121","36.6384099704418","38.057118260434","35.1477306206432","34.209141374897","39.2619811494933","42.4937194602091","40.2805952122498","38.6472586782799","34.3878430331132","32.1636507021188","31.1696048331094","32.6072833057431","36.1079391736999","33.7175525560644","40.0261572191575","33.6310449114922","31.6753063420544","29.1926335586371","30.3092925324881","28.7694727437268","30.8129900290948","33.1279251306716","29.9697732509867","28.0549255182293","31.4563099541907","31.9905608716023","34.2514635052532","36.06869665773","36.3269852517864","35.7165130130223","39.5689344405831","40.7440670194466","42.2520200601264","38.1352684790706","37.0921492685991","37.5860433392455","39.7629084558242","42.2399323876395","44.9482484686925","41.7996776876109","41.6060532675785","39.2673878386708","40.3727862033147",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9675602523703","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","61.6351137521095","61.5893823753457","64.0028523992429","64.7281648949165","68.9314775001503","74.3508273325776","75.7446341195563","75.4094120296224","66.6806507430916","68.4798395481877",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632801213","7.32639415527493","5.71540643432856","6.32976917431398","6.48369977949523","7.37192799858578","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995288","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367663","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5667926798789","13.9806106427674","16.4199284119137","15.1034479703979",
"Armenia","ARM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3327370304115","60.1204668088844","61.2560043844096","60.7541704101782","73.1013252499359","62.1869362383961","55.989556615586","58.2744756657506","52.8394319098677","49.8022321913836","50.0719114183969","45.7184119969031","46.152393477237","49.5683697098445","44.8798901687648","42.8265406335218","38.8841565463432","38.7856901033422","40.2765983873899","42.6033349980631","44.8945606568078","46.9123853980322","48.4000215166647","48.1970692931673","47.0465461367346","41.8652688700677","42.7698750822308","49.5006382701548","53.383274207869","52.9099482986136",
"American Samoa","ASM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.75486381323","108.349146110057","110.7421875","122.0675944334","127.822580645161","119.423076923077","133.92539964476","82.0058997050148","93.2291666666667","97.3867595818815","99.8447204968944","100","105.763239875389","99.5461422087746","97.3926380368098","102.325581395349","99.3710691823899","",
"Antigua and Barbuda","ATG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","44.9194442959582","49.4448992440485","63.8063929870173","72.5856005385639","80.4614177468652","89.9172261966327","64.3507616439391","70.7830195796554","77.7008759689975","101.040772881638","89.9071902274969","71.1924587725438","77.2368131935569","74.120172549337","74.292228606164","77.402392817941","74.4619338925851","71.5820737927484","76.0333569006158","73.7484736913867","70.2728275679228","67.3098979678445","69.084177008282","60.0441227508151","60.7653926896441","58.2409402592835","62.4969894855782","64.4142156642608","66.7898974479844","70.7354653441722","71.0973921139942","69.5839149447118","57.7067902721996","59.1041950804291","56.3771820733033","58.5011049860179","61.0088591841149","59.4200836919283","50.1547074454084","47.8009709238472","","","",
