"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Afghanistan","AFG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.0048381290293384","0.00698947602300506","0.00530833331642909","0.00623430829149926","0.0074208524953154","","",
"Angola","AGO","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Albania","ALB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.60496202719146","0.692261979750626","0.44084218450834","0.674240874724499","3.64766856333234","3.65112929921301","1.48916472245409","1.19099406634149","0.530331449945475","0.355745825300695","0.086344217711326","0.0705768926450333","0.117981208785226","0.0215337900945136","0.108511340615553","0.0223403842157444","0","0","0","0","0.0182974248570526","0.0604517138356284","0.210479933478614","1.09743472642407","0.504077181431093","0.132470722758208","0.462025577125217","0.566983504389772","0.371604849356705","0.316487535012569","0.378316352507487","0.250959189206341","0.0192448967794569","0.146426288319129","","",
"Andorra","AND","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.217205259868557","0.173059517174304","0.150001825438709","0.204077501931873","0.957242351557719","0.723401871311057","0.282903184832295","0.538867557411942","0.11306653237623","0.128006169849201","0.133908343286545","0.153213584486873","0.139153650677363","0.126652586042074","0.091232771174971","0.120385587988905","0.0755184906891351","0.0418768172097605","0.185196293672956","0.0626098707266828","0.0449278151655633","0.0618470108137416","0.0468694394674421","0.0324988117286122","0.0311208528728381","0.0329902821049458","0.0342821588734115","0.0359789622087166","0.0545691834156392","0.0618456755554105","0.0648046594567248","0.0704860596037288","0.0710014901223515","0.0673298397907286","0.0623444589132091","0.0954705501707028","0.102129477557495","0.169951048545894","0.579826892352927","0.492541866523792","0.326030194153873","0.417262897558865","0.4243817078765","0.310900695036019","0.252647163952093","0.282766822281301","0.282611174821888","0.243352955566382","","",
"United Arab Emirates","ARE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Argentina","ARG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.0256677336373978","0.0171745897498967","0.0259318218318527","0.0558114887291252","0.0667696740422597","0.0299983594616795","0.0389510127449024","0.0431006026137935","0.0311653674662549","0.059225850469152","0.0659311421206236","0.0302225157595762","0.0189870582135732","0.022173706286981","0.0280565446340492","0.0225924257502384","0.0110404480762768","0.012151029022537","0.18793356895266","0.296510682754997","0.0602599506995371","0.00767360862270267","0.00835860970316793","0.0020412686296513","0.00239296596501305","0.00206704289228599","0.00211525008749039","0.0211906216319067","0.0528010815428089","0.0639551973694818","0.0587116166722636","0.0631184552323078","0.178287082930359","0.168612345131376","0.242351635302228","0.301469789904431","0.610737087791503","0.547855961780123","0.427369978179564","0.439052728728509","0.612044733322455","0.630466438869896","0.608055566483003","0.412100643983081","0.41348913589638","0.298614293155127","0.338983797801228","0.308309752337321","","",
"Armenia","ARM","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.105584846910596","0.102698622725277","0.468567477618287","0.731881751852933","0.511241769108735","0.517567214846395","0.160976758266849","0.14144238551141","0.34110701090479","0.277774210191882","0.439503041432161","0.493603936412182","0.952282411729692","0.89100953419582","1.77305990519006","1.28776667105405","1.08107044735669","1.31536963516126","2.69406841843945","3.64938105648238","3.72574539574835","3.17290693355136","3.15304150932033","3.75047985496021","4.18149135951076","5.59061166169727","","",
"American Samoa","ASM","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
