,year,rule,region_pol,region_geo,property,polyarchy,justice,education,country_text_id,country_name
230,2019,0.605,2,17,0.872,0.71,0.354,8.48,MEX,Mexico
350,2019,0.562,10,18,0.75,0.736,0.764,,SUR,Suriname
581,2019,0.991,5,2,0.892,0.8740000000000001,0.972,11.85,SWE,Sweden
803,2019,0.993,5,1,0.877,0.873,0.9790000000000001,12.71,CHE,Switzerland
921,2019,0.649,4,6,0.8170000000000001,0.718,0.8909999999999999,5.61,GHA,Ghana
1041,2019,0.698,4,9,0.737,0.6779999999999999,0.773,7.88,ZAF,South Africa
1272,2019,0.9570000000000001,6,12,0.888,0.82,0.961,13.15,JPN,Japan
1503,2019,0.5820000000000001,7,13,0.395,0.406,0.40399999999999997,5.7,MMR,Burma/Myanmar
1734,2019,0.184,1,4,0.882,0.24600000000000002,0.32299999999999995,9.61,RUS,Russia
1842,2019,0.596,1,3,0.737,0.48100000000000004,0.9359999999999999,,ALB,Albania
2073,2019,0.248,3,5,0.4,0.19,0.518,7.72,EGY,Egypt
2237,2019,0.085,3,10,0.426,0.12300000000000001,0.174,,YEM,Yemen
2468,2019,0.716,2,18,0.593,0.667,0.488,7.604,COL,Colombia
2633,2019,0.833,1,4,0.8490000000000001,0.6920000000000001,0.795,9.696,POL,Poland
2864,2019,0.645,2,18,0.8029999999999999,0.674,0.687,8.14,BRA,Brazil
3095,2019,0.948,5,16,0.812,0.7979999999999999,0.93,13.61,USA,United States of America
3326,2019,0.965,5,3,0.898,0.87,0.872,7.82,PRT,Portugal
3508,2019,0.40299999999999997,2,17,0.77,0.631,0.244,5.93,SLV,El Salvador
3648,2019,0.14300000000000002,8,14,0.75,0.27899999999999997,0.26,4.69,BGD,Bangladesh
3843,2019,0.447,2,18,0.648,0.537,0.467,8.267999999999999,BOL,Bolivia
4074,2019,0.12,2,19,0.528,0.449,0.177,4.23,HTI,Haiti
4256,2019,0.258,2,17,0.6890000000000001,0.36,0.289,5.79,HND,Honduras
4376,2019,0.518,4,6,0.382,0.467,0.48700000000000004,1.51,MLI,Mali
4449,2019,0.307,8,14,0.565,0.35100000000000003,0.264,5.97,PAK,Pakistan
4680,2019,0.73,2,18,0.69,0.784,0.6,8.87,PER,Peru
4796,2019,0.777,4,6,0.698,0.708,0.855,2.99,SEN,Senegal
4805,2019,0.051,4,8,0.12,0.18,0.16699999999999998,,SSD,South Sudan
4925,2019,0.26899999999999996,4,5,0.456,0.213,0.242,,SDN,Sudan
5000,2019,0.281,7,13,0.67,0.217,0.47100000000000003,6.532,VNM,Vietnam
5405,2019,0.341,8,14,0.423,0.34700000000000003,0.198,3.813,AFG,Afghanistan
5636,2019,0.757,2,18,0.8240000000000001,0.812,0.7070000000000001,8.77,ARG,Argentina
5867,2019,0.5539999999999999,4,8,0.146,0.33,0.759,,ETH,Ethiopia
6098,2019,0.6609999999999999,8,14,0.7959999999999999,0.507,0.617,4.84,IND,India
6218,2019,0.5579999999999999,4,8,0.43799999999999994,0.429,0.326,6.46,KEN,Kenya
6293,2019,0.044000000000000004,6,12,0.009000000000000001,0.099,0.062,7.108,PRK,North Korea
6524,2019,0.951,6,12,0.866,0.8420000000000001,0.953,13.0,KOR,South Korea
6545,2019,0.5710000000000001,1,3,0.44,0.624,0.402,,XKX,Kosovo
6647,2019,0.384,3,10,0.633,0.465,0.647,8.725,LBN,Lebanon
6753,2019,0.36,4,6,0.7490000000000001,0.498,0.87,4.48,NGA,Nigeria
6873,2019,0.415,7,13,0.836,0.48,0.728,8.24,PHL,Philippines
6979,2019,0.785,4,8,0.584,0.43,0.682,3.645,TZA,Tanzania
7099,2019,0.9129999999999999,6,12,0.88,0.8109999999999999,0.953,,TWN,Taiwan
7330,2019,0.27399999999999997,7,13,0.655,0.166,0.34600000000000003,7.91,THA,Thailand
7450,2019,0.37,4,8,0.529,0.307,0.64,4.54,UGA,Uganda
7671,2019,0.013999999999999999,2,18,0.7090000000000001,0.22899999999999998,0.159,6.63,VEN,Venezuela
7791,2019,0.727,4,6,0.878,0.603,0.805,2.89,BEN,Benin
7911,2019,0.9520000000000001,8,14,0.77,0.5579999999999999,0.917,,BTN,Bhutan
7997,2019,0.638,4,6,0.63,0.358,0.452,1.4280000000000002,BFA,Burkina Faso
8117,2019,0.091,7,13,0.42,0.23800000000000002,0.247,5.894,KHM,Cambodia
8337,2019,0.645,7,13,0.7020000000000001,0.636,0.7,,IDN,Indonesia
